Episode,CollisionType,VehicleName,CollisionObjectName,TimeStamp,Duration
40,static,"Car_4","(OSM id: 645787895)",22.11,0.01
40,static,"Car_0","(OSM id: 645787849)",21.31,0.1
40,static,"Car_1","(OSM id: 645788048)",22.11,0.09
40,static,"Car_4","(OSM id: 645787598)",22.41,0.08
40,static,"Car_3","(OSM id: 645787516)",22.91,0.1
40,static,"Car_0","(OSM id: 645787502)",25.31,0.03
40,static,"Car_0","(OSM id: 645787683)",25.81,0.03
40,static,"Car_4","(OSM id: 645787849)",26.11,0.07
40,vehicle,"Car_0","Car_3",26.91,0.02
40,vehicle,"Car_3","Car_0",26.91,0.02
40,static,"Car_3","(OSM id: 645787781)",27.51,0.05
40,static,"Car_0","(OSM id: 645788004)",28.11,0.05
40,static,"Car_3","(OSM id: 645787940)",28.71,0.03
40,static,"Car_4","(OSM id: 645787867)",28.61,0.07
40,static,"Car_3","(OSM id: 645787940)",29.21,0.04
41,vehicle,"Car_0","Car_1",4.91,0.12
41,vehicle,"Car_1","Car_0",4.91,0.12
41,static,"Car_1","(OSM id: 645791843)",29.61,0.0
42,vehicle,"Car_1","Car_2",7.61,0.01
42,vehicle,"Car_2","Car_1",7.61,0.01
42,vehicle,"Car_0","Car_2",8.21,0.0
42,vehicle,"Car_2","Car_0",8.21,0.0
42,static,"Car_0","Modular Lab 1 (ML1)(OSM id: 543947241)",9.51,0.21
42,static,"Car_2","Karl Hoblitzelle Hall (HH)(OSM id: 221345883)",13.41,0.34
42,static,"Car_1","Karl Hoblitzelle Hall (HH)(OSM id: 221345883)",14.81,0.6
42,static,"Car_0","Parking Structure 4(OSM id: 134921833)",14.71,0.67
42,static,"Car_1","Engineering &amp; Computer Science North (ECSN)(OSM id: 470345844)",25.91,0.04
43,vehicle,"Car_2","Car_4",14.11,0.03
43,vehicle,"Car_4","Car_2",14.11,0.03
43,static,"Car_3","(OSM id: 640718937)",23.31,0.08
43,static,"Car_3","(OSM id: 640718933)",24.71,0.07
43,static,"Car_1","(OSM id: 640718941)",24.71,0.09
43,static,"Car_1","(OSM id: 640718932)",25.71,0.05
43,static,"Car_3","(OSM id: 640718973)",26.71,0.02
43,static,"Car_0","Edith O'Donnell Arts and Technology Building(OSM id: 243352628)",25.21,0.25
43,static,"Car_1","(OSM id: 640718945)",27.21,0.09
44,static,"Car_1","(OSM id: 646111467)",21.21,0.11
44,static,"Car_0","(OSM id: 646112021)",23.61,0.1
44,static,"Car_1","(OSM id: 646111781)",22.51,0.37
44,static,"Car_0","(OSM id: 646111853)",24.51,0.21
44,static,"Car_0","(OSM id: 646112101)",26.61,0.19
45,vehicle,"Car_0","Car_1",7.31,0.21
45,vehicle,"Car_1","Car_0",7.31,0.21
45,static,"Car_3","(OSM id: 598179056)",9.31,0.25
45,static,"Car_2","(OSM id: 470347241)",10.61,0.21
