04-Aug-19 02:55:36 - TorcsAgent - INFO - Agent created with following parameters: {'critic_optimizer': 'adam', 'state_dim': (29,), 'discount_factor': 0.99, 'evaluation_samples': 1, 'snapshot_interval': 150, 'soft_target_update_rate': 0.005, 'start_training': 0, 'ctx': 'gpu(0)', 'actor_optimizer_params': {'learning_rate': 0.001}, 'output_directory': 'model/TorcsAgent/2019-08-04-02-55-32', 'target_score': None, 'replay_memory_params': {'state_dtype': 'float32', 'state_dim': (29,), 'rewards_dtype': 'float32', 'action_dtype': 'float32', 'sample_size': 100, 'memory_size': 120000, 'method': 'buffer', 'action_dim': (3,)}, 'strategy_params': {'epsilon_decay': 8e-06, 'epsilon_decay_per_step': True, 'epsilon': 1, 'action_low': -1, 'epsilon_decay_method': 'linear', 'action_high': 1, 'epsilon_decay_start': 10, 'mu': [0, 0, -1.2], 'min_epsilon': 0.0001, 'theta': [0.6, 1, 1], 'sigma': [0.3, 0.2, 0.05], 'method': 'ornstein_uhlenbeck', 'action_dim': (3,)}, 'actor_optimizer': 'adam', 'critic_optimizer_params': {'learning_rate': 0.001}, 'max_episode_step': 900000, 'agent_name': 'TorcsAgent', 'verbose': True, 'train_interval': 1, 'training_episodes': 3500, 'action_dim': (3,)}
04-Aug-19 02:55:36 - TorcsAgent - INFO - --- Start TwinDelayedDDPG training ---
04-Aug-19 03:03:53 - TorcsAgent - INFO - Episode: 61, Total Reward: 410.352, Avg. Reward Last 100 Episodes: 322.899, Avg. Actor Loss: -89.112 Avg. Critic Loss: 0.866 Avg. Q-Values: 50.898, Time: 7.542, Training Steps: 31, Eps: 0.987
04-Aug-19 03:04:01 - TorcsAgent - INFO - Episode: 62, Total Reward: 336.696, Avg. Reward Last 100 Episodes: 324.309, Avg. Actor Loss: -89.210 Avg. Critic Loss: 0.950 Avg. Q-Values: 52.688, Time: 8.134, Training Steps: 34, Eps: 0.986
04-Aug-19 03:04:09 - TorcsAgent - INFO - Episode: 63, Total Reward: 84.455, Avg. Reward Last 100 Episodes: 324.506, Avg. Actor Loss: -90.907 Avg. Critic Loss: 0.848 Avg. Q-Values: 53.374, Time: 8.001, Training Steps: 28, Eps: 0.986
04-Aug-19 03:04:19 - TorcsAgent - INFO - Episode: 64, Total Reward: 585.558, Avg. Reward Last 100 Episodes: 320.755, Avg. Actor Loss: -92.641 Avg. Critic Loss: 0.917 Avg. Q-Values: 55.706, Time: 10.342, Training Steps: 45, Eps: 0.986
04-Aug-19 03:04:26 - TorcsAgent - INFO - Episode: 65, Total Reward: 160.093, Avg. Reward Last 100 Episodes: 324.829, Avg. Actor Loss: -96.393 Avg. Critic Loss: 0.915 Avg. Q-Values: 57.957, Time: 6.533, Training Steps: 26, Eps: 0.986
04-Aug-19 03:04:33 - TorcsAgent - INFO - Episode: 66, Total Reward: -102.485, Avg. Reward Last 100 Episodes: 322.333, Avg. Actor Loss: -97.524 Avg. Critic Loss: 0.974 Avg. Q-Values: 59.552, Time: 6.976, Training Steps: 23, Eps: 0.985
04-Aug-19 03:04:40 - TorcsAgent - INFO - Episode: 67, Total Reward: 174.488, Avg. Reward Last 100 Episodes: 315.993, Avg. Actor Loss: -94.502 Avg. Critic Loss: 1.002 Avg. Q-Values: 59.827, Time: 6.931, Training Steps: 28, Eps: 0.985
04-Aug-19 03:04:46 - TorcsAgent - INFO - Episode: 68, Total Reward: 225.415, Avg. Reward Last 100 Episodes: 313.912, Avg. Actor Loss: -98.617 Avg. Critic Loss: 1.014 Avg. Q-Values: 59.949, Time: 6.326, Training Steps: 25, Eps: 0.985
04-Aug-19 03:04:54 - TorcsAgent - INFO - Episode: 69, Total Reward: 39.492, Avg. Reward Last 100 Episodes: 312.629, Avg. Actor Loss: -96.554 Avg. Critic Loss: 0.994 Avg. Q-Values: 60.834, Time: 8.385, Training Steps: 30, Eps: 0.985
04-Aug-19 03:05:04 - TorcsAgent - INFO - Episode: 70, Total Reward: 792.949, Avg. Reward Last 100 Episodes: 308.727, Avg. Actor Loss: -98.302 Avg. Critic Loss: 0.992 Avg. Q-Values: 63.149, Time: 9.750, Training Steps: 42, Eps: 0.984
